Filenames,labels
./images/29828.jpg,Egypt
./images/38248.jpg,"Hong Kong"
./images/13505.jpg,Luxembourg
./images/19406.jpg,INDIA-BRITISH
./images/14637.jpg,Philippines
./images/95461.jpg,Kenya
./images/7874.jpg,Belgium
./images/17140.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/16442.jpg,Japan
./images/93725.jpg,"FRENCH INDO-CHINA"
./images/16806.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/19997.jpg,Norway
./images/34100.jpg,"West African States"
./images/4918.jpg,Belgium
./images/89399.jpg,"Sri Lanka"
./images/14172.jpg,Seychelles
./images/89313.jpg,Singapore
./images/18763.jpg,Hungary
./images/18225.jpg,"VATICAN CITY"
./images/10245.jpg,Chile
./images/13704.jpg,Austria
./images/14763.jpg,Jersey
./images/13700.jpg,"German States"
./images/15390.jpg,Tunisia
./images/14665.jpg,Sweden
./images/17187.jpg,Madagascar
./images/21713.jpg,"FRENCH INDO-CHINA"
./images/13932.jpg,Netherlands
./images/46022.jpg,Israel
./images/17029.jpg,Sweden
./images/36488.jpg,Finland
./images/14030.jpg,Jersey
./images/9889.jpg,"VATICAN CITY"
./images/17815.jpg,Portugal
./images/12104.jpg,Russia
./images/46472.jpg,Norway
./images/17115.jpg,Portugal
./images/44235.jpg,Israel
./images/93724.jpg,"FRENCH INDO-CHINA"
./images/14957.jpg,Denmark
./images/25367.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/13701.jpg,"German States"
./images/23856.jpg,Hungary
./images/17995.jpg,Israel
./images/8249.jpg,Switzerland
./images/89382.jpg,"Sri Lanka"
./images/76679.jpg,Albania
./images/30627.jpg,Finland
./images/21646.jpg,Hungary
./images/26486.jpg,Peru
./images/35860.jpg,Lithuania
./images/17487.jpg,Czechoslovakia
./images/46525.jpg,"IRELAND REPUBLIC"
./images/14088.jpg,Jersey
./images/74604.jpg,"IRELAND REPUBLIC"
./images/13261.jpg,"Great Britain"
./images/44236.jpg,Israel
./images/96675.jpg,Seychelles
